iter	Passed	Remaining
0	0	944
1	1	860
2	2	833
3	3	820
4	4	811
5	5	844
6	6	853
7	6	829
8	7	805
9	7	783
10	8	774
11	9	757
12	9	749
13	10	749
14	11	745
15	12	740
16	12	730
17	13	729
18	14	731
19	14	722
20	15	720
21	16	714
22	16	710
23	17	706
24	18	704
25	18	698
26	19	696
27	20	695
28	20	692
29	21	690
30	21	687
31	22	683
32	23	681
33	23	677
34	24	675
35	25	675
36	25	671
37	26	671
38	27	669
39	27	667
40	28	667
41	29	665
42	29	664
43	30	663
44	31	663
45	31	661
46	32	660
47	33	658
48	33	657
49	34	655
50	35	653
51	35	651
52	36	650
53	37	649
54	37	647
55	38	644
56	38	643
57	39	641
58	40	640
59	40	638
60	41	638
61	42	637
62	42	637
63	43	635
64	44	634
65	44	632
66	45	630
67	45	625
68	46	623
69	46	621
70	47	621
71	48	623
72	49	624
73	50	625
74	50	625
75	51	624
76	51	622
77	52	620
78	53	619
79	53	618
80	54	617
81	55	615
82	55	614
83	56	613
84	56	610
85	57	609
86	57	606
87	58	605
88	59	604
89	59	603
90	60	602
91	60	600
92	61	600
93	62	599
94	62	598
95	63	598
96	64	597
97	64	596
98	65	596
99	66	594
100	66	594
101	67	590
102	67	589
103	68	588
104	68	587
105	69	587
106	70	586
107	70	585
108	71	584
109	72	583
110	72	582
111	73	581
112	73	580
113	74	579
114	75	578
115	75	575
116	76	574
117	76	573
118	77	571
119	77	570
120	78	569
121	79	568
122	79	565
123	79	564
124	80	563
125	81	562
126	81	561
127	82	558
128	82	557
129	83	556
130	83	556
131	84	555
132	85	554
133	85	553
134	86	552
135	86	551
136	87	550
137	87	549
138	88	548
139	89	547
140	89	546
141	90	548
142	91	548
143	92	547
144	92	547
145	93	546
146	93	545
147	94	544
148	95	544
149	95	543
150	96	542
151	97	541
152	97	540
153	98	539
154	98	538
155	99	537
156	100	537
157	100	536
158	101	535
159	101	534
160	102	534
161	103	533
162	103	532
163	104	532
164	105	532
165	105	531
166	106	530
167	107	530
168	107	529
169	108	528
170	108	528
171	109	527
172	110	526
173	110	525
174	111	525
175	112	524
176	112	524
177	113	523
178	113	522
179	114	521
180	114	518
181	115	518
182	115	517
183	116	516
184	117	515
185	117	515
186	118	514
187	118	513
188	119	512
189	120	511
190	120	510
191	121	509
192	121	509
193	122	508
194	122	507
195	123	506
196	124	505
197	124	505
198	125	504
199	125	503
200	126	502
201	126	501
202	127	500
203	128	500
204	128	499
205	129	498
206	129	497
207	130	496
208	130	495
209	131	495
210	132	494
211	132	493
212	133	492
213	134	492
214	134	491
215	135	490
216	135	489
217	136	489
218	136	488
219	137	487
220	138	486
221	138	485
222	139	484
223	139	483
224	140	482
225	140	481
226	141	480
227	141	479
228	142	478
229	142	477
230	143	477
231	143	476
232	144	475
233	144	474
234	145	473
235	146	472
236	146	472
237	147	471
238	147	470
239	148	469
240	149	469
241	149	469
242	150	468
243	150	467
244	151	466
245	152	466
246	152	465
247	153	464
248	153	463
249	154	462
250	154	462
251	155	461
252	155	460
253	156	459
254	157	458
255	157	458
256	158	457
257	158	456
258	159	455
259	159	455
260	160	454
261	160	453
262	161	452
263	162	451
264	162	451
265	163	450
266	163	449
267	164	449
268	164	448
269	165	447
270	166	446
271	166	446
272	167	445
273	167	444
274	168	444
275	169	443
276	169	442
277	170	442
278	170	441
279	171	440
280	171	439
281	172	439
282	173	438
283	173	437
284	174	437
285	174	436
286	175	435
287	176	435
288	176	434
289	177	434
290	177	433
291	178	432
292	178	431
293	179	431
294	180	430
295	180	429
296	181	428
297	181	428
298	182	427
299	182	426
