iter	Passed	Remaining
0	141	141240
1	143	71610
2	146	48810
3	149	37179
4	151	30244
5	154	25590
6	156	22238
7	159	19796
8	162	17853
9	164	16326
10	168	15135
11	170	14024
12	172	13086
13	174	12296
14	176	11588
15	178	10962
16	179	10393
17	181	9894
18	182	9441
19	183	9005
20	185	8629
21	186	8298
22	187	7972
23	188	7680
24	190	7415
25	191	7157
26	191	6913
27	192	6694
28	193	6495
29	194	6301
30	196	6129
31	197	5963
32	198	5804
33	199	5656
34	200	5516
35	201	5387
36	202	5259
37	203	5139
38	203	5025
39	204	4915
40	205	4809
41	206	4708
42	207	4610
43	207	4515
44	208	4422
45	209	4335
46	209	4250
47	210	4168
48	210	4092
49	211	4017
50	212	3946
51	212	3876
52	213	3809
53	213	3745
54	214	3683
55	214	3623
56	215	3568
57	216	3514
58	217	3461
59	217	3410
60	218	3361
61	218	3312
62	219	3265
63	220	3219
64	220	3174
65	221	3132
66	221	3090
67	222	3049
68	223	3009
69	223	2970
70	224	2933
71	224	2896
72	225	2860
73	225	2826
74	226	2792
75	226	2759
76	227	2727
77	228	2695
78	228	2665
79	229	2635
80	229	2606
81	230	2578
82	230	2550
83	231	2525
84	232	2499
85	232	2473
86	233	2448
87	233	2424
88	234	2401
89	235	2378
90	235	2355
91	236	2332
92	236	2310
93	237	2288
94	237	2267
95	238	2246
96	239	2226
97	239	2205
98	240	2185
99	240	2166
100	241	2147
101	241	2128
102	242	2111
103	243	2093
104	243	2076
105	244	2058
106	244	2041
107	245	2025
108	245	2010
109	246	1996
110	247	1980
111	247	1965
112	248	1950
113	249	1935
114	249	1920
115	250	1906
116	250	1890
117	251	1876
118	251	1863
119	252	1849
120	252	1836
121	253	1822
122	253	1809
123	254	1796
124	254	1784
125	255	1771
126	255	1759
127	256	1747
128	257	1736
129	257	1726
130	258	1714
131	259	1703
132	259	1692
133	260	1681
134	260	1671
135	261	1661
136	262	1651
137	262	1641
138	263	1630
139	263	1620
140	264	1610
141	264	1599
142	265	1589
143	265	1580
144	266	1571
145	267	1561
146	267	1552
147	268	1543
148	268	1534
149	269	1525
150	269	1517
151	270	1508
152	270	1499
153	271	1491
154	272	1485
155	273	1477
156	273	1469
157	274	1461
158	274	1453
159	275	1445
160	275	1436
161	276	1429
162	277	1424
163	277	1416
164	278	1409
165	279	1402
166	279	1394
167	280	1387
168	280	1380
169	281	1373
170	281	1366
171	282	1360
172	283	1353
173	283	1346
174	284	1339
175	284	1333
176	285	1326
177	286	1320
178	286	1314
179	287	1308
180	287	1301
181	288	1295
182	288	1289
183	289	1283
184	289	1277
185	290	1271
186	291	1265
187	291	1259
188	292	1255
189	293	1249
190	293	1244
191	294	1238
192	294	1233
193	295	1227
194	296	1222
195	296	1216
196	297	1211
197	297	1206
198	298	1200
199	298	1195
200	299	1190
201	300	1185
202	300	1181
203	301	1176
204	302	1171
205	302	1167
206	303	1162
207	303	1157
208	304	1152
209	305	1147
210	305	1142
211	306	1138
212	306	1133
213	307	1130
214	308	1126
215	309	1121
216	309	1117
217	310	1112
218	310	1107
219	311	1103
220	311	1099
221	312	1094
222	312	1090
223	313	1085
224	314	1081
225	314	1077
226	315	1073
227	315	1068
228	316	1064
229	316	1060
230	317	1056
231	318	1052
232	318	1048
233	319	1044
234	319	1041
235	320	1037
236	320	1033
237	321	1029
238	321	1025
239	322	1022
240	323	1019
241	324	1016
242	325	1012
243	325	1009
244	326	1005
245	326	1002
246	327	998
247	328	994
248	328	991
249	329	987
250	329	983
251	330	980
252	330	976
253	331	972
254	331	969
255	332	965
256	332	962
257	333	959
258	334	955
259	334	952
260	335	948
261	335	945
262	336	942
263	336	938
264	337	936
265	338	933
266	339	931
267	339	928
268	340	925
269	341	922
270	341	919
271	342	917
272	343	914
273	343	911
274	344	908
275	345	905
276	345	902
277	346	900
278	347	897
279	347	894
280	348	892
281	349	889
282	349	886
283	350	883
284	351	881
285	351	878
286	352	875
287	353	873
288	354	871
289	354	868
290	355	865
291	356	863
292	356	860
293	357	857
294	357	855
295	358	852
296	359	849
297	359	847
298	360	844
299	360	841
300	361	839
301	362	836
302	362	834
303	363	831
304	363	829
305	364	826
306	365	824
307	365	821
308	366	819
309	367	817
310	367	814
311	368	812
312	369	810
313	369	808
314	370	806
315	371	803
316	371	801
317	372	799
318	373	796
319	373	794
320	374	791
321	375	789
322	375	787
323	376	785
324	376	782
325	377	780
326	378	778
327	378	775
328	379	773
329	380	771
330	380	769
331	381	767
332	381	765
333	382	762
334	383	760
335	384	759
336	384	757
337	385	755
338	386	752
339	386	750
340	387	748
341	387	746
342	388	744
343	389	741
344	389	739
345	390	737
346	390	735
347	391	733
348	391	730
349	392	728
350	392	726
351	393	724
352	394	722
353	394	720
354	395	718
355	395	716
356	396	714
357	397	711
358	397	709
359	398	707
360	398	706
361	399	704
362	400	702
363	400	700
364	401	698
365	401	696
366	402	694
367	403	692
368	403	690
369	404	688
370	404	686
371	405	684
372	405	682
373	406	680
374	407	678
375	407	676
376	408	674
377	408	672
378	409	671
379	410	669
380	410	667
381	411	665
382	412	663
383	412	662
384	413	660
385	414	658
386	414	657
387	415	655
388	416	653
389	416	651
390	417	650
391	418	648
392	418	646
393	419	644
394	419	643
395	420	641
396	420	639
397	421	637
398	422	635
399	422	633
400	423	632
401	423	630
402	424	628
403	424	626
404	425	624
405	425	623
406	426	621
407	426	619
408	427	617
409	428	615
410	428	614
411	429	613
412	430	611
413	430	609
414	431	608
415	431	606
416	432	604
417	433	602
418	433	601
419	434	599
420	434	597
421	435	596
422	435	594
423	436	592
424	436	591
425	437	589
426	437	587
427	438	586
428	439	584
429	439	582
430	440	581
431	440	579
432	441	577
433	441	576
434	442	574
435	442	573
436	443	571
437	444	569
438	445	568
439	445	567
440	446	565
441	446	564
442	447	562
443	448	561
444	448	559
445	449	557
446	449	556
447	450	554
448	450	553
449	451	551
450	451	550
451	452	548
452	453	547
453	453	545
454	454	543
455	454	542
456	455	540
457	455	539
458	456	538
459	457	536
460	457	534
461	458	533
462	458	531
463	459	530
464	460	529
465	460	528
466	461	526
467	462	525
468	462	523
469	463	522
470	463	520
471	464	519
472	464	517
473	465	516
474	465	514
475	466	513
476	466	512
477	467	510
478	468	509
479	468	507
480	469	506
481	469	504
482	470	503
483	470	502
484	471	500
485	472	499
486	472	497
487	473	496
488	473	495
489	474	493
490	475	492
491	476	491
492	476	490
493	477	489
494	477	487
495	478	486
496	479	484
497	479	483
498	480	482
499	480	480
500	481	479
501	481	478
502	482	476
503	482	475
504	483	473
505	484	472
506	484	471
507	485	469
508	485	468
509	486	467
510	486	465
511	487	464
512	487	463
513	488	461
514	489	460
515	489	459
516	490	458
517	491	457
518	491	455
519	492	454
520	493	453
521	493	451
522	494	450
523	494	449
524	495	448
525	495	446
526	496	445
527	497	444
528	497	443
529	498	441
530	498	440
531	499	439
532	499	437
533	500	436
534	500	435
535	501	434
536	502	432
537	502	431
538	503	430
539	503	429
540	504	428
541	505	426
542	505	425
543	506	424
544	507	423
545	508	422
546	508	421
547	509	420
548	510	419
549	510	417
550	511	416
551	511	415
552	512	414
553	513	413
554	513	411
555	514	410
556	514	409
557	515	408
558	515	407
559	516	405
560	517	404
561	517	403
562	518	402
563	518	400
564	519	399
565	519	398
566	520	397
567	521	396
568	521	395
569	522	394
570	523	393
571	524	392
572	525	391
573	525	390
574	526	389
575	527	388
576	528	387
577	528	386
578	529	384
579	530	383
580	530	382
581	531	381
582	532	380
583	532	379
584	533	378
585	534	377
586	534	376
587	535	375
588	535	373
589	536	373
590	537	371
591	538	370
592	538	369
593	539	368
594	539	367
595	540	366
596	541	365
597	541	364
598	542	363
599	543	362
600	543	360
601	544	359
602	545	358
603	545	357
604	546	356
605	547	355
606	547	354
607	548	353
608	549	352
609	550	351
610	550	350
611	551	349
612	552	348
613	552	347
614	553	346
615	554	345
616	554	344
617	555	343
618	555	342
619	556	340
620	556	339
621	557	338
622	557	337
623	558	336
624	559	335
625	559	334
626	560	333
627	560	332
628	561	331
629	561	329
630	562	328
631	563	327
632	563	326
633	564	325
634	564	324
635	565	323
636	565	322
637	566	321
638	567	320
639	568	319
640	568	318
641	569	317
642	569	316
643	570	315
644	570	314
645	571	313
646	572	312
647	572	311
648	573	309
649	573	308
650	574	307
651	574	306
652	575	305
653	575	304
654	576	303
655	577	302
656	577	301
657	578	300
658	578	299
659	579	298
660	579	297
661	580	296
662	581	295
663	581	294
664	582	293
665	583	292
666	584	291
667	584	290
668	585	289
669	585	288
670	586	287
671	586	286
672	587	285
673	588	284
674	588	283
675	589	282
676	589	281
677	591	280
678	591	279
679	592	278
680	593	277
681	593	276
682	594	275
683	594	274
684	595	273
685	595	272
686	596	271
687	596	270
688	597	269
689	598	268
690	599	267
691	599	266
692	600	266
693	601	265
694	601	264
695	602	263
696	602	262
697	603	261
698	604	260
699	604	259
700	605	258
701	605	257
702	606	256
703	607	255
704	607	254
705	608	253
706	608	252
707	609	251
708	609	250
709	610	249
710	610	248
711	611	247
712	612	246
713	612	245
714	613	244
715	614	243
716	615	242
717	615	241
718	616	240
719	617	239
720	617	239
721	618	238
722	618	237
723	619	236
724	620	235
725	620	234
726	621	233
727	621	232
728	622	231
729	623	230
730	623	229
731	624	228
732	624	227
733	625	226
